Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
PIB (US$ a precios actuales),NY.GDP.MKTP.CD,Estados Unidos,USA,10252345464000,10581821399000,10936419054000,11458243878000,12213729147000,13036640229000,13814611414000,14451858650000,14712844084000,14448933025000,14992052727000,15542581104000,16197007349000,16784849190000,17521746534000,18219297584000,18707188235000,19485393853000,"20544343456936,5",..
PIB (US$ a precios actuales),NY.GDP.MKTP.CD,Unión Europea,EUU,"7258060812953,45","7385944125907,17","8047699909021,74","9909170158133,26","11396119066042,9","11902181715509,9","12699806876309,1","14707134757359,4","16234436573911,9","14707389453532,7","14540122378828,4","15740251081656,3","14634470770544,9","15291337809935,9","15631241536377,2","13545202459222,5","13882044553929,9","14701144884801,7","15912779344835,3",..
PIB (US$ a precios actuales),NY.GDP.MKTP.CD,Japón,JPN,"4887519660744,86","4303544259842,72","4115116279069,77","4445658071221,86","4815148854362,11","4755410630912,14","4530377224970,4","4515264514430,57","5037908465114,48","5231382674593,7","5700098114744,41","6157459594823,72","6203213121334,12","5155717056270,83","4850413536037,84","4389475622588,97","4926667087367,51","4859950558538,97","4971323079771,87",..
PIB (US$ a precios actuales),NY.GDP.MKTP.CD,Mundo,WLD,"33588568226721,8","33396774717513,7","34674958552618,4","38903667053120,3","43817512446338,4","47457731188389,4","51447884999567,6","57968090589081,9","63610422341569,7","60334303773856,4","66049248793368,4","73391477748703,3","75082688938148,2","77236184877355,8","79334438915146,1","75051787690892,3","76166454624306,9","80963190912336,8","85930754374373,9",..
Crecimiento del PIB (% anual),NY.GDP.MKTP.KD.ZG,Estados Unidos,USA,"4,12748401355853","0,9983407946565","1,7416952497298","2,86121076741024","3,79889112662393","3,51321379665302","2,85497229170015","1,87617145846693","-0,136579805460741","-2,53675706585665","2,56376655876581","1,55083550568156","2,24954585236992","1,84208107101102","2,45197303536034","2,88091046605219","1,56721516997864","2,21701033031884","2,92732272821085",..
Crecimiento del PIB (% anual),NY.GDP.MKTP.KD.ZG,Unión Europea,EUU,"3,90681682257272","2,18941410298174","1,12272642650571","0,925509317588748","2,60243651197712","1,93116815393695","3,49336878862894","3,15614364240852","0,652745889409758","-4,32697950569377","2,20542525610246","1,83384909369413","-0,745618663261467","-0,0606159646748381","1,58491082635585","2,35235594256453","2,0609074020151","2,72396707525778","2,12651008975671",..
Crecimiento del PIB (% anual),NY.GDP.MKTP.KD.ZG,Japón,JPN,"2,77963282527575","0,406335903186886","0,117992776763344","1,52822014815892","2,20468788231713","1,662670405184","1,42000655604446","1,65418388116969","-1,09354060040749","-5,41641279673664","4,19173925858955","-0,115421339717841","1,49508958594926","2,0002678411015","0,374719476331322","1,22292104108077","0,609093181244134","1,92875725125687","0,788455875670337",..
Crecimiento del PIB (% anual),NY.GDP.MKTP.KD.ZG,Mundo,WLD,"4,38355965556268","1,9496450720349","2,17679330504042","2,95695279051915","4,40129492180429","3,91330213523121","4,37754214989261","4,3190683350186","1,85011524786928","-1,67838913869518","4,29917497334667","3,13245671614577","2,50762572544059","2,65549197314101","2,83504965518124","2,85725701174107","2,58511646789077","3,19656183955655","3,05839460423694",..
"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,Estados Unidos,USA,"2,23547440913843","2,1934253421126","1,58176300748477","1,85709520256464","2,69221212444054","3,11494234269192","3,02620465117329","2,6862788620527","1,94513174792792","0,762349987094908","1,16525054526011","2,08890377669013","1,91784900672151","1,75491574826864","1,89189129365117","1,06934165915725","1,09352542352599","1,90077753786528","2,43595060727107",..
"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,Unión Europea,EUU,"3,32970477807837","3,47475200280421","3,27434188043023","2,68281652443969","2,70926818790251","2,54310465575838","2,89907382207626","2,96634514780449","3,25286325598351","1,67883895982297","0,940413624501218","1,6502027525509","1,67527012376287","1,2799869936059","0,918221818685311","1,11874587447134","0,858465884038481","1,51191022454982","2,04124778445261",..
